SMILES,Name,Cluster,Center
Nc1cccc2c1ccn2[C@@H]1C[C@H](COS(=O)(=O)NC(=O)c2ccccc2O)[C@@H](O)[C@H]1O,CHEMBL1198615,3,No
Nc1nc(-n2cc(C3CCCCC3)nn2)nc2c1ncn2[C@@H]1O[C@H](COS(=O)(=O)NC(=O)c2ccccc2O)[C@@H](O)[C@H]1O,CHEMBL1198685,1,No
Nc1ccccc1-c1cn(-c2nc(N)c3ncn([C@@H]4O[C@H](COS(=O)(=O)NC(=O)c5ccccc5O)[C@@H](O)[C@H]4O)c3n2)nn1,CHEMBL1198707,1,No
[N-]=[N+]=Nc1nc(N)c2ncn([C@@H]3O[C@H](COS(=O)(=O)NC(=O)c4ccccc4O)[C@@H](O)[C@H]3O)c2n1,CHEMBL1198714,1,No
Nc1nc(-n2cc(C3CCCC3)nn2)nc2c1ncn2[C@@H]1O[C@H](COS(=O)(=O)NC(=O)c2ccccc2O)[C@@H](O)[C@H]1O,CHEMBL1198966,1,No
Nc1nc(I)nc2c1ncn2[C@@H]1O[C@H](COS(=O)(=O)NC(=O)c2ccccc2O)[C@@H](O)[C@H]1O,CHEMBL1199189,1,No
CCCCCCCc1cn(-c2nc(N)c3ncn([C@@H]4O[C@H](COS(=O)(=O)NC(=O)c5ccccc5O)[C@@H](O)[C@H]4O)c3n2)nn1,CHEMBL1199214,1,No
CC(C)Cc1cn(-c2nc(N)c3ncn([C@@H]4O[C@H](COS(=O)(=O)NC(=O)c5ccccc5O)[C@@H](O)[C@H]4O)c3n2)nn1,CHEMBL1199220,1,No
Nc1ncnc2c1ccn2[C@@H]1O[C@H](COS(=O)(=O)NC(=O)c2ccccc2O)[C@@H](O)[C@H]1O,CHEMBL1199221,1,No
Nc1ncnc2c1ncn2[C@H]1C[C@H](O)[C@@H](COS(=O)(=O)NC(=O)c2ccccc2O)O1,CHEMBL1199238,1,No
Nc1nc(-n2cc(-c3ccccc3)nn2)nc2c1ncn2[C@@H]1O[C@H](COS(=O)(=O)NC(=O)c2ccccc2O)[C@@H](O)[C@H]1O,CHEMBL1199255,1,No
CN[C@@H]1[C@H](O[C@H]2[C@H](O[C@@H]3[C@H](O)[C@@H](O)[C@@H](NC(=N)N)[C@H](O)[C@H]3NC(=N)N)O[C@@H](C)[C@]2(O)C=O)O[C@H](CO)[C@@H](O)[C@H]1O,CHEMBL1200740,2,No
CCN[C@@H]1C[C@H](N)[C@@H](O[C@H]2OC(CN)=CC[C@H]2N)[C@H](O)[C@H]1O[C@H]1OC[C@](C)(O)[C@H](NC)[C@H]1O,CHEMBL1200872,2,No
C[C@@H]1O[C@@H](O[C@@H]2CCO[C@H](CO)[C@H]2O[C@@H]2O[C@H](O)[C@H](OP(=O)(O)O)[C@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@@H]1O,CHEMBL1206017,2,No
C[C@H]1O[C@@H](O[C@@H]2CCCC[C@H]2O[C@@H]2O[C@H](CN)[C@H](O)[C@@H](O[C@@H](Cc3ccccc3)C(=O)O)[C@@H]2O)[C@@H](O)[C@H](O)[C@H]1O,CHEMBL1207728,2,No
Nc1nc(-c2ccccc2-c2ccccc2)nc2c1ncn2[C@@H]1O[C@H](COS(=O)(=O)NC(=O)c2ccccc2O)[C@@H](O)[C@H]1O,CHEMBL1207859,1,No
CC(C)CNc1ncnc2c1ncn2[C@H]1O[C@H](COS(=O)(=O)NC(=O)c2ccccc2O)[C@@H](O)[C@@H]1O,CHEMBL1207932,1,No
O=C(NS(=O)(=O)OC[C@H]1O[C@@H](n2cnc3c(NC4CCC4)ncnc32)[C@H](O)[C@@H]1O)c1ccccc1O,CHEMBL1207933,1,No
O=S(=O)(O)O/C=C/c1ccc(O[C@@H]2Oc3cc(/C=C/OS(=O)(=O)O)ccc3O[C@@H]2c2ccc(O)c(O)c2)c(O)c1,CHEMBL1208182,0,No
O=S(=O)(O)Oc1ccc(/C=C/c2cc(O)cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c2)cc1,CHEMBL1208272,0,No
O=C(NS(=O)(=O)OC[C@H]1O[C@@H](n2cnc3c(NC4CCCC4)ncnc32)[C@H](O)[C@@H]1O)c1ccccc1O,CHEMBL1208273,1,No
C[C@@H]1O[C@@H](O[C@@H]2CCCC[C@H]2O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O[C@@H](Cn3cc(Cc4ccccc4)nn3)C(=O)O)[C@H]2O)[C@@H](O)[C@H](O)[C@@H]1O,CHEMBL1208403,2,No
C[C@@H]1O[C@@H](O[C@@H]2CCCC[C@H]2O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O[C@@H](Cn3cc(Cn4nnc5c4CCCC5)nn3)C(=O)O)[C@H]2O)[C@@H](O)[C@H](O)[C@@H]1O,CHEMBL1208407,2,No
C[C@H]1O[C@@H](O[C@@H]2CCCC[C@H]2O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O[C@@H](Cn3cc(-c4ccsc4)nn3)C(=O)O)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O,CHEMBL1208408,2,No
Cc1cc(NCCN)cc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)[C@H](O)C(=O)N1CSC(C)(C)[C@H]1C(=O)N[C@H]1c2ccccc2C[C@H]1O,CHEMBL1209492,3,No
CCNCCNc1cc(C)c(OCC(=O)N[C@@H](Cc2ccccc2)[C@H](O)C(=O)N2CSC(C)(C)[C@H]2C(=O)N[C@H]2c3ccccc3C[C@H]2O)c(C)c1,CHEMBL1209497,3,No
C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@]2(O)c1cn(C[C@@H]2O[C@H](O[P@](=O)([O-])O[P@](=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(=O)[nH]c(N)nc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H](O)[C@@H]2O)nn1,CHEMBL1214874,1,No
O=C1c2c(O)cc(O)cc2O[C@@H](c2ccc(O)cc2)[C@@H]1c1c(O)cc(O)c2c(=O)cc(-c3ccc(O)c(O)c3)oc12,CHEMBL1215433,1,No
NC[C@@H]1C[C@@H](O[C@@H]2[C@@H](N)C[C@H](N)[C@@H](O[C@@H]3O[C@@H](CO)[C@H](N)[C@@H](O)[C@H]3O)[C@H]2O)[C@@H](N)C[C@H]1O,CHEMBL121785,2,No
O=c1c(O[C@H]2O[C@H](CO)[C@H](O)[C@@H](O)[C@@H]2O)c(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c12,CHEMBL1221722,1,No
O=C(Cc1ccc(F)cc1)O[C@@H]1[C@@H](Oc2cc(-c3oc4cc(O)cc(O)c4c(=O)c3O)ccc2O)O[C@@H](CO)[C@H](O)[C@H]1OC(=O)Cc1ccc(F)cc1,CHEMBL1222356,1,No
Oc1cc(O)c([C@@H]2c3c(O)cc(O)cc3O[C@H](c3ccc(O)c(O)c3)[C@@H]2O)c(O)c1,CHEMBL1223839,0,No
Oc1ccc([C@@H]2c3c(O)cc(O)cc3O[C@H](c3ccc(O)c(O)c3)[C@@H]2O)c(O)c1,CHEMBL1223840,0,No
Oc1ccc(/C=C\c2cc(O)cc3c2[C@@H](c2cc(O)cc(O)c2)[C@H](c2ccc(O)cc2)O3)cc1,CHEMBL1224889,0,No
Cc1cc(SC2=C(O)O[C@](C)(CCc3ccc(O)cc3)CC2=O)c(C(C)(C)C)cc1CO,CHEMBL122847,3,No
