SMILES,Name,Cluster,Center
COc1ccc(-c2cc(=O)c3c(O)cc(O)c([C@@H]4O[C@H](CO)[C@@H](O[C@@H]5OC[C@H](O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O)c3o2)cc1O,101387093,1,No
OC[C@H]1O[C@@H](Oc2cc(O)cc([C@@H]3c4c(O)cc5c6c4[C@H]([C@@H](c4ccc(O)cc4)c4c(O)cc(O)cc4[C@@H]6[C@@H](c4ccc(O)cc4)O5)[C@H]3c3ccc(O)cc3)c2)[C@H](O)[C@@H](O)[C@@H]1O,101393391,4,No
O=C(/C=C/c1cc(O)cc(O)c1)O[C@H]1[C@H](OC(=O)c2ccc(O)cc2)[C@@H](CO[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)O[C@@]1(CO)OC(=O)c1ccc(O)cc1,101405809,4,No
Cc1c(O)c([C@@H]2C[C@H](OCc3ccccc3)[C@@H](OCc3ccccc3)[C@H](CO)O2)cc([C@@H]2C[C@H](OCc3ccccc3)[C@@H](OCc3ccccc3)[C@@H](CO)O2)c1O,101415736,4,No
Cc1cc(O)c2c(c1)C(=O)c1cccc(O[C@@H]3O[C@H](CO[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)[C@@H](O)[C@H](O)[C@H]3O)c1C2=O,101422396,4,No
O=C(Nc1ccccc1)N1CCC(Sc2ccc(CCNC[C@H](O)COc3ccc(O)cc3)cc2)CC1,10142809,3,No
O=C1c2c(O)c(O)cc([C@H]3Oc4cc(O)cc(O)c4C[C@H]3O)c2[C@@H]2C([C@H]3Oc4cc(O)cc(O)c4C[C@H]3O)=C[C@@]1(O)c1c(O)c(O)cc([C@H]3Oc4cc(O)cc(O)c4C[C@H]3O)c12,101449867,4,No
O=C(/C=C/c1ccc(O)cc1)O[C@@H]1C[C@@](O)(CO)[C@@H]2[C@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)OC=C[C@H]12,101458517,0,No
Cc1cc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc(Oc2c(C)cc(O)cc2-c2cc(O[C@H]3O[C@@H](CO)[C@@H](O)[C@H](O)[C@@H]3O)cc(C)c2O)c1O,101460859,4,No
C[C@@]1(O)[C@@H](CO)O[C@@](C)(n2cnc3c(N)ncnc32)[C@]1(C)O[P@@](=O)(O)OC[C@H]1O[C@@](C)(n2cnc3c(N)ncnc32)[C@](C)(O[P@](=O)(O)OC[C@H]2O[C@@](C)(n3cnc4c(N)ncnc43)[C@]3(C)O[P@@](=O)(O)O[C@]23C)[C@]1(C)O,10148418,2,No
COc1cc(O)ccc1O[C@@H]1O[C@H](COC(=O)/C=C(C)\C=C\[C@]2(O)[C@]3(C)C[C@H](O)C[C@@]2(C)OC3=O)[C@@H](O)[C@H](O)[C@H]1O,101502005,0,No
O=C(/C=C\c1ccc(O)cc1)OC[C@@]1(O)CO[C@H](O[C@H]2[C@H](Oc3cc4c(O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)cc(O)cc4[o+]c3-c3ccc(O)c(O)c3)OC[C@@H](O)[C@@H]2O)[C@@H]1O,101525349,1,No
COc1c2cc(C(C)(C)C)cc1Cc1cc(O)cc(c1O)Cc1cc(C(C)(C)C)cc(c1OC)Cc1cc(O)cc(c1O)C2,101547509,3,No
CO[C@]1(C)C[C@H](O[C@@H]2[C@@H](C)C(=O)O[C@H]([C@@H](C)[C@H](C)O)[C@H](C)[C@H](OC(C)=O)[C@@H](C)C(=O)[C@@](C)(O)C[C@H](C)[C@H](O)[C@H]2C)O[C@@H](C)[C@H]1O,101549753,0,No
O=c1c([C@H]2OC[C@H](O)[C@H](O)[C@H]2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,101585379,1,No
Cc1ccc(O)c(Cc2cc(C)cc(Cc3cc(C)cc(-c4cc(C)ccc4O)c3O)c2O)c1,101594261,3,No
CC(C)C(=O)NC[C@H]1O[C@H](O[C@H]2[C@H](N)C[C@H](N)[C@@H](O[C@H]3O[C@H](CN)[C@@H](O)[C@H](O)[C@H]3N)[C@@H]2O)C[C@@](N)(O)[C@@H]1O,101596089,0,No
C=C(C)CC[C@@]1(OC)O[C@H]2C[C@H]3[C@@H]4CC=C5C[C@@H](O)C[C@@H](O[C@@H]6OC[C@H](O)[C@H](O)[C@H]6O[C@@H]6O[C@@H](C)[C@H](O)[C@@H](O[C@@H]7O[C@H](CO)[C@@H](O)[C@H](O)[C@H]7O)[C@H]6O)[C@]5(C)[C@H]4CC[C@]3(C)[C@H]2[C@H]1C,101610838,0,No
C=C1[C@@H]2C[C@H](O)C(C)(C)[C@@](O)(O2)[C@@H](O)C[C@]23C[C@](C)(O)[C@H](CC[C@@H]12)[C@H]3O,101614929,0,No
O=C(/C=C/c1ccc(O)cc1)OC[C@H]1O[C@@H]([C@H]2c3cccc(O)c3C(=O)c3c(O)cc(CO)cc32)[C@H](O)[C@@H](O)[C@@H]1O,101629131,4,No
CO[C@@H]1[C@@H]2OC(=O)[C@@H]([C@@H]2C(C)C)[C@]2(O)[C@H]3O[C@H]3[C@]3(C[C@@H]([C@H](C)O)C(=O)O3)[C@]12C,101630476,0,No
C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](OC3=C(c4ccc(O)cc4)Oc4cc(O)c(O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]5O)c(O)c4C3)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,101635452,4,No
COc1cc(O)c2c(c1)C(=O)c1c(cc3c(c1O)-c1c(cc(C)c(C(=O)N[C@@H](CO)C(=O)O)c1O)[C@H](O[C@@H]1O[C@@H](C)[C@H](N(C)C)[C@H](O)[C@H]1O)[C@H]3O)C2=O,101644415,4,No
C[C@H]1O[C@@H](O[C@H]2CC[C@]3(C=O)[C@H]4C[C@@H](O)[C@]5(C)[C@@H](C6=CC(=O)OC6)CC[C@]5(O)[C@@H]4CC[C@]3(O)C2)[C@H](O)[C@@H](O)[C@@H]1O,101650324,0,No
C=C1c2cccc(O)c2C(=O)[C@H]2[C@@H]1[C@H](O)[C@H]1[C@H](N(C)C)C(=O)C(C(N)=O)=C(O)[C@@]1(O)[C@@H]2O,101664230,2,No
O=C(OC[C@@H]1O[C@H](Oc2ccc(O)cc2COC(=O)[C@@]2(O)C=CCCC2=O)[C@@H](OC(=O)[C@@H]2C=CCC2)[C@H](O)[C@H]1O)[C@@H]1C=CCC1,101667569,4,No
C=C1CC[C@]2(C(=O)O)CC[C@]3(C)C(=CC[C@H]4[C@@]5(C)C[C@H](O)[C@H](O[C@H]6O[C@@H](C(=O)O)[C@H](O)[C@H](O[C@H]7O[C@H](C(=O)O)[C@@H](O)[C@@H](O)[C@@H]7O)[C@@H]6O)[C@@](C)(C(=O)O)[C@H]5CC[C@]43C)[C@@H]2C1,101682246,0,No
O=C(C[C@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F,10168412,0,No
