Compound;SMILES;Cluster;Center;Smiles;RMSD;Model.ID;Energy;nRot
136657757;COc1c(O)c(O)c(-n2nc(C(N)=O)c3c2C(=O)N(c2ccc(N4C[C@H](COc5c(N)c(O)c(-n6nc(C(N)=O)c7c6C(=O)N(c6ccc(N8CCCC(O)(O)C8=O)cc6)CC7(O)O)c(O)c5O)CCC4=O)cc2)CC3(O)O)c(O)c1O;2;No;COc1c(c(c(c(c1O)O)n1c2c(c(C(=O)N)n1)C(CN(C2=O)c1ccc(cc1)N1C[C@@H](CCC1=O)COc1c(c(c(c(c1O)O)n1c2c(c(C(=O)N)n1)C(CN(C2=O)c1ccc(cc1)N1CCCC(C1=O)(O)O)(O)O)O)N)(O)O)O)O;0.04370359;1;-12;12
23901956;C[C@@H](/C=C/CC(=O)N1CCC[C@H]1CO)[C@]1(O)C(=O)N(c2ccccc2)c2ccc(N3N=C(c4ccccc4)CCC3=O)cc21;2;No;C[C@@H](/C=C/CC(=O)N1CCC[C@H]1CO)[C@]1(c2c(ccc(c2)N2C(=O)CCC(=N2)c2ccccc2)N(C1=O)c1ccccc1)O;0.044750549;1;-11.9;9
24997590;CC(C)(C)C[C@H]1N[C@@H](C(=O)NCCN2CCN(CO)CC2)[C@H](c2cccc(Cl)c2)[C@@]12C(=O)Nc1cc(Cl)c(F)cc12;2;No;CC(C)(C)C[C@@H]1[C@]2([C@H]([C@H](C(=O)NCCN3CCN(CC3)CO)N1)c1cc(ccc1)Cl)c1cc(c(cc1NC2=O)Cl)F;0.032810077;1;-11.9;8
25151497;CC[C@H]1OC(=O)[C@H](C)[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)Cc3ccc(-c4cn(CCCCCCC(=O)NO)nn4)cc3)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O;2;No;CC[C@@H]1[C@@]([C@@H]([C@@H](C)N(C[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O)C)O[C@H]1[C@@H]([C@H](C[C@@H](C)O1)N(C)Cc1ccc(c2cn(CCCCCCC(=O)NO)nn2)cc1)O)(C)O)C)C)O)(C)O;0.04205798;1;-11.9;14
73437922;CO[C@H]1/C=C/C=C(/C)C(=O)NC2=CC(=O)C(NCCN(Cc3ccccc3)[C@]34C[C@H]5C[C@H](C[C@H](C5)C3)C4)=C(C[C@H](C)C[C@@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@@H]1OC(N)=O)C2=O;2;No;C[C@@H]1C[C@H]([C@@H]([C@H](/C=C(/[C@@H]([C@H](/C=C/C=C(\C(=O)NC2=CC(=O)C(=C(C1)C2=O)NCCN(Cc1ccccc1)[C@]12C[C@@H]3C[C@H](C1)C[C@@H](C3)C2)/C)OC)OC(=O)N)\C)C)O)OC;0.043685742;1;-11.9;11
134403501;CC[C@H](C)[C@@H]1NC(=O)CCNC(=O)[C@@H]2Cc3c([nH]c4c(CSCCNC(=O)[C@H]5CC[C@H](CN6C(=O)CCC6=O)CC5)c(OC)ccc34)[S@](=O)C[C@H](NC(=O)CNC1=O)C(=O)N[C@H](CC(N)=O)C(=O)N1C[C@H](O)C[C@@H]1C(=O)N[C@@H]([C@@H](C)[C@@H](O)CO)C(=O)N2;2;No;CC[C@H](C)[C@H]1C(=O)NCC(=O)N[C@H]2C[S@@](=O)c3c(C[C@@H](C(=O)NCCC(=O)N1)NC(=O)[C@H]([C@@H](C)[C@H](CO)O)NC(=O)[C@H]1C[C@H](CN1C(=O)[C@@H](CC(=O)N)NC2=O)O)c1c(c(c(cc1)OC)CSCCNC(=O)[C@H]1CC[C@@H](CC1)CN1C(=O)CCC1=O)[nH]3;0.041071363;1;-11.9;16
11700715;O=C1[C@H](CC[C@H](O)c2ccc(F)cc2)[C@@H](c2ccc(-c3ccc(OS(=O)(=O)C[C@@H]4O[C@H](CO)[C@@H](O[C@H]5O[C@H](CO)[C@H](O)[C@@H](O)[C@@H]5O)[C@H](O)[C@H]4O)cc3)cc2)N1c1ccccc1;2;No;c1ccc(cc1)N1[C@@H]([C@H](C1=O)CC[C@@H](c1ccc(cc1)F)O)c1ccc(cc1)c1ccc(cc1)OS(=O)(=O)C[C@H]1[C@@H]([C@H]([C@@H]([C@@H](CO)O1)O[C@@H]1[C@H]([C@@H]([C@H]([C@@H](CO)O1)O)O)O)O)O;0.035028596;1;-11.8;15
24013983;C[C@H]1[C@H](C(C)(C)O)[C@@H](CC(=O)N2CCC[C@H]2CO)O[C@]12C(=O)N(Cc1ccc(I)cc1)c1ccc(I)cc12;2;No;C[C@H]1[C@@H]([C@@H](CC(=O)N2CCC[C@H]2CO)O[C@]21c1c(ccc(c1)I)N(C2=O)Cc1ccc(cc1)I)C(C)(C)O;0.040763255;1;-11.8;6
89930347;O=C(N[C@@H]1CC[C@@H](CO)OC1)[C@H]1[C@H](c2ccnc(Cl)c2F)[C@]2(C(=O)Nc3cc(Cl)ccc32)C2(CC(CF)(CF)C2)N1[C@H](c1ccccc1)[C@@H](O)c1ccccc1;2;No;C1C[C@@H](CO)OC[C@@H]1NC(=O)[C@H]1[C@@H]([C@@]2(c3c(cc(cc3)Cl)NC2=O)C2(CC(C2)(CF)CF)N1[C@H](c1ccccc1)[C@H](c1ccccc1)O)c1c(c(ncc1)Cl)F;0.039604694;1;-11.8;10
100961769;CC(=O)NN1C(=O)c2c(c3c4cccc(O)c4n([C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)c3c3[nH]c4c(O)cccc4c23)C1=O;2;No;CC(=O)NN1C(=O)c2c3c4c(c(ccc4)O)[nH]c3c3c(c2C1=O)c1c(c(ccc1)O)n3[C@H]1[C@@H]([C@H]([C@@H]([C@@H](CO)O1)O)O)O;0.022252649;1;-11.8;3
118205161;O=c1[nH]c(=O)n([C@@H]2O[C@H](COP(=O)(OC[C@H]3O[C@@H](n4cc(-c5ncco5)c(=O)[nH]c4=O)[C@H](O)[C@@H]3O)OC[C@H]3O[C@@H](n4cc(-c5ncco5)c(=O)[nH]c4=O)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)cc1-c1ncco1;2;No;c1coc(c2cn(c(=O)[nH]c2=O)[C@H]2[C@@H]([C@@H]([C@@H](CO[P@@](=O)(OC[C@@H]3[C@H]([C@H]([C@@H](O3)n3cc(c(=O)[nH]c3=O)c3occn3)O)O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)n3cc(c(=O)[nH]c3=O)c3occn3)O)O)O2)O)O)n1;0.043443576;1;-11.8;15
132225050;CC(C)(C)NCc1ccc(-c2cccc(S(=O)(=O)N3CCC4(CC3)C[C@H](NC[C@H](O)COc3cccc(S(=O)(=O)C5(CO)CC5)c3)CO4)c2)cc1;2;No;CC(C)(C)NCc1ccc(cc1)c1cc(ccc1)S(=O)(=O)N1CCC2(CC1)C[C@@H](CO2)NC[C@@H](COc1cc(ccc1)S(=O)(=O)C1(CC1)CO)O;0.035449769;1;-11.8;15
