Compound;SMILES;Cluster;Center;Smiles;RMSD;Model.ID;Energy;nRot
46928946;C[C@H]1O[C@H](Oc2c(O)c(O[C@]3(CO)OC[C@@H](O)[C@@H](O)[C@@H]3O)c(O)c3c(=O)cc(-c4ccc(O)cc4)oc23)[C@@H](O)[C@@H](O)[C@@H]1O;1;No;C[C@@H]1[C@H]([C@@H]([C@@H]([C@H](O1)Oc1c(c(c(c2c1oc(cc2=O)c1ccc(cc1)O)O)O[C@]1([C@H]([C@@H]([C@@H](CO1)O)O)O)CO)O)O)O)O;0.041321214;1;-11.2;6
46936379;O=P(O)(O)OC[C@@H]1O[C@H](O[C@H]2O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]2O)[C@@H](O)[C@H](O)[C@H]1O;2;No;C([C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)O[C@@H]1[C@H]([C@@H]([C@H]([C@H](COP(=O)(O)O)O1)O)O)O)O)O)O)O;0.042149097;1;-9.6;6
46936783;Cc1cn([C@H]2C[C@@H](O)[C@H](CO[P@](=O)(O)O[P@@](=O)(O)O[C@H]3O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]3O)O2)c(=O)[nH]c1=O;4;No;Cc1cn(c(=O)[nH]c1=O)[C@H]1C[C@H]([C@H](CO[P@](=O)(O)O[P@@](=O)(O)O[C@@H]2[C@H]([C@@H]([C@H]([C@H](CO)O2)O)O)O)O1)O;0.041725133;1;-10.6;9
49791957;O=c1cc(-c2ccc(O)cc2)oc2c([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c([O-])cc(O)c12;1;No;c1cc(ccc1c1cc(=O)c2c(cc(c(c2o1)[C@H]1[C@@H]([C@H]([C@@H]([C@@H](CO)O1)O)O)O)[O-])O)O;0.037175629;1;-10.4;3
49839881;CCC(CC)n1cnc2c(NCc3cc(F)ccc3O)nc(N[C@H](C)CC(C)(C)O)nc21;0;No;CCC(CC)n1cnc2c1nc(nc2NCc1c(ccc(c1)F)O)N[C@H](C)CC(C)(C)O;0.031720948;1;-10.4;10
49868170;C[C@@H]1O[C@H](O[C@H]2CC[C@]3(C)[C@@H]4[C@@H](O)C[C@]5(C)[C@@H](C6=CC(=O)OC6)CC[C@]5(O)[C@H]4CC[C@]3(O)C2)[C@H](O)[C@@H](O)[C@H]1O;2;No;C[C@H]1[C@@H]([C@@H]([C@H]([C@H](O1)O[C@H]1CC[C@@]2([C@H]3[C@H](CC[C@@]2(C1)O)[C@]1(CC[C@@H]([C@]1(C[C@@H]3O)C)C1=CC(=O)OC1)O)C)O)O)O;0.040811513;1;-12.3;3
50902910;CC(C)=CC[C@@H](OC(=O)C[C@@H](O)c1ccccc1)C1=CC(=O)c2c(O)ccc(O)c2C1=O;3;No;CC(=CC[C@H](C1=CC(=O)c2c(ccc(c2C1=O)O)O)OC(=O)C[C@H](c1ccccc1)O)C;0.046047196;1;-10.4;9
50939159;CCc1ccc(Cc2c(Cl)cc(CO)cc2O[C@H]2O[C@@H](CO)C[C@@H](O)[C@@H]2O)cc1F;3;No;CCc1c(cc(cc1)Cc1c(cc(cc1Cl)CO)O[C@@H]1[C@H]([C@@H](C[C@H](CO)O1)O)O)F;0.026375398;1;-10.6;7
50994836;O=C(/C=C/[C@]1(O)C=C[C@H](O)CC1=O)OC[C@H]1O[C@@H](Oc2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O;3;No;O=C(OC[C@H]1O[C@@H](Oc2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O)/C=C/[C@]1(O)C=C[C@H](O)CC1=O;0.044935755;1;-10.8;8
50994838;O=C1C=CC(O)(/C=C/C(=O)OC[C@H]2O[C@@H](Oc3ccc(O)cc3)[C@H](OC(=O)/C=C/C3(O)C=CC(=O)C=C3)[C@@H](O)[C@@H]2O)C=C1;3;No;c1cc(ccc1O)O[C@H]1[C@@H]([C@H]([C@@H]([C@@H](COC(=O)/C=C/[C@@]2(C=CC(=O)C=C2)O)O1)O)O)OC(=O)/C=C/[C@]1(C=CC(=O)C=C1)O;0.042866755;1;-11.2;13
