Compound;SMILES;Cluster;Center;Smiles;RMSD;Model.ID;Energy;nRot;;;;;;
CHEMBL1631641;CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@H](O[C@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]12C=NNC2;0;No;CC[C@@H]1[C@]2([C@@H]([C@H](C(=O)[C@@H](C[C@]([C@H]([C@H](C(=O)[C@H](C(=O)O1)C)C)O[C@@H]1[C@@H]([C@H](C[C@@H](C)O1)N(C)C)O)(C)OC)C)C)O)C=NNC2;0.065281898;1;-13.8;5;;;;;;
CHEMBL1644408;CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN2/C(=N\c3ccc(-c4ccccc4)cc3OC)O[C@H]([C@H]2C)[C@]1(C)O;0;No;CC[C@@H]1[C@@]([C@H]2[C@@H](C)N(C[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@@H]1C[C@](C)([C@H]([C@H](C)O1)O)OC)C)O[C@H]1[C@@H]([C@H](C[C@@H](C)O1)N(C)C)O)(C)O)C)/C(=N\c1ccc(c3ccccc3)cc1OC)/O2)(C)O;0.09277793;1;-11.7;11;;;;;;
CHEMBL1645589;CC[C@H]1OC(=O)[C@H](C)[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@H](C)CN(CCCN(CCC#N)C(=O)Nc2ccc3ccccc3c2)[C@H](C)[C@@H](O)[C@]1(C)O;0;No;CC[C@@H]1[C@@]([C@@H]([C@@H](C)N(C[C@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O)C)O[C@H]1[C@@H]([C@H](C[C@@H](C)O1)N(C)C)O)(C)O)C)CCCN(CCC#N)C(=O)Nc1ccc2ccccc2c1)O)(C)O;0.115073018;1;-11.9;11;;;;;;
CHEMBL1645590;CC[C@H]1OC(=O)[C@H](C)[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(CCCN(CCC#N)C(=O)N[C@@H](C)c2cccc3ccccc23)[C@H](C)[C@@H](O)[C@]1(C)O;0;No;[C@@H]1([C@@H]([C@H](C[C@@H](C)O1)N(C)C)O)O[C@@H]1[C@H]([C@@H]([C@H](C(=O)O[C@@H]([C@@]([C@@H]([C@@H](C)N(C[C@@H](C[C@@]1(C)O)C)CCCN(C(=O)N[C@H](c1cccc2c1cccc2)C)CCC#N)O)(C)O)CC)C)O)C;0.121069267;1;-11.5;12;;;;;;
CHEMBL1645591;CC[C@H]1OC(=O)[C@H](C)[C@@H](O)[C@H](C)[C@@H](O[C@H]2O[C@@H](C)C[C@@H](N(C)C)[C@@H]2O)[C@](C)(O)C[C@@H](C)CN(CCCN(CCC#N)C(=O)Nc2ccc(Cl)cc2Cl)[C@H](C)[C@@H](O)[C@]1(C)O;0;No;CC[C@@H]1[C@@]([C@@H]([C@@H](C)N(C[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O)C)O[C@@H]1[C@H]([C@@H](C[C@H](C)O1)N(C)C)O)(C)O)C)CCCN(CCC#N)C(=O)Nc1ccc(cc1Cl)Cl)O)(C)O;0.099517666;1;-12.6;11;;;;;;
CHEMBL1668166;CC[C@@H]1OC(=O)[C@H](C)[C@H](O[C@@H]2C[C@@](C)(OC)[C@@H](OC(=O)NCCCC(=O)NC3CCCCC3)[C@H](C)O2)[C@@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H](N(C)C)[C@@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@@H](C)[C@@H](O)[C@]1(C)O;0;No;CC[C@H]1[C@@]([C@@H]([C@@H](C(=O)[C@@H](C[C@@]([C@@H]([C@@H]([C@H]([C@H](C(=O)O1)C)O[C@@H]1C[C@](C)([C@H]([C@H](C)O1)OC(=O)NCCCC(=O)NC1CCCCC1)OC)C)O[C@H]1[C@H]([C@@H](C[C@@H](C)O1)N(C)C)O)(C)OC)C)C)O)(C)O;0.115274355;1;-11.1;15;;;;;;
CHEMBL1682446;CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(CCCNC(=S)Nc2cccc(C(F)(F)F)c2)[C@H](C)[C@@H](O)[C@]1(C)O;0;No;CC[C@@H]1[C@@]([C@@H]([C@@H](C)N(C[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]1C[C@](C)([C@H]([C@H](C)O1)O)OC)C)O[C@H]1[C@@H]([C@H](C[C@@H](C)O1)N(C)C)O)(C)O)C)CCCNC(=S)Nc1cccc(C(F)(F)F)c1)O)(C)O;0.098483712;1;-12;15;;;;;;
CHEMBL1682460;CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(CCCNC(=O)Nc2ccc(Cl)cc2)[C@H](C)[C@@H](O)[C@]1(C)O;0;No;CC[C@@H]1[C@@]([C@@H]([C@@H](C)N(C[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]1C[C@](C)([C@H]([C@H](C)O1)O)OC)C)O[C@H]1[C@@H]([C@H](C[C@@H](C)O1)N(C)C)O)(C)O)C)CCCNC(=O)Nc1ccc(cc1)Cl)O)(C)O;0.070213772;1;-12.3;12;;;;;;
CHEMBL168255;C#CCO[C@@]1(C)C[C@H](C)C(=O)[C@H](C)[C@@H](O)[C@](C)(O)[C@@H](CC)OC(=O)[C@H](C)[C@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@H]1O[C@@H]1O[C@H](C)C[C@H](N(C)C)[C@H]1O;0;No;C#CCO[C@@]1(C)C[C@H](C)C(=O)[C@H](C)[C@H]([C@@](C)([C@@H](CC)OC(=O)[C@H](C)[C@@H]([C@H](C)[C@H]1O[C@H]1[C@@H]([C@H](C[C@@H](C)O1)N(C)C)O)O[C@H]1C[C@](C)([C@H]([C@H](C)O1)O)OC)O)O;0.066609845;1;-11.6;9;;;;;;
CHEMBL1682578;CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(CCCNC(=O)Nc2ccc(F)c(F)c2)[C@H](C)[C@@H](O)[C@]1(C)O;0;No;CC[C@@H]1[C@@]([C@@H]([C@@H](C)N(C[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]1C[C@](C)([C@H]([C@H](C)O1)O)OC)C)O[C@H]1[C@@H]([C@H](C[C@@H](C)O1)N(C)C)O)(C)O)C)CCCNC(=O)Nc1ccc(c(c1)F)F)O)(C)O;0.081977509;1;-12.1;12;;;;;;
CHEMBL1682581;CC[C@@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(CCCNC(=O)Nc2ccccc2-c2ccccc2)[C@H](C)[C@@H](O)[C@]1(C)O;0;No;CC[C@H]1[C@@]([C@@H]([C@@H](C)N(C[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]1C[C@](C)([C@H]([C@H](C)O1)O)OC)C)O[C@H]1[C@@H]([C@H](C[C@@H](C)O1)N(C)C)O)(C)O)C)CCCNC(=O)Nc1ccccc1c1ccccc1)O)(C)O;0.113811091;1;-12.6;13;;;;;;
CHEMBL1682583;CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(CCCNC(=S)Nc2ccc(F)cc2)[C@H](C)[C@@H](O)[C@]1(C)O;0;No;CC[C@@H]1[C@@]([C@@H]([C@@H](C)N(C[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]1C[C@](C)([C@H]([C@H](C)O1)O)OC)C)O[C@H]1[C@@H]([C@H](C[C@@H](C)O1)N(C)C)O)(C)O)C)CCCNC(=S)Nc1ccc(cc1)F)O)(C)O;0.088509411;1;-11.9;14;;;;;;
CHEMBL1682585;CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(CCCNC(=S)NC2CCCCCCCCCCC2)[C@H](C)[C@@H](O)[C@]1(C)O;0;No;CC[C@@H]1[C@@]([C@@H]([C@@H](C)N(C[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@@H]1C[C@](C)([C@H]([C@H](C)O1)O)OC)C)O[C@@H]1[C@@H]([C@H](C[C@@H](C)O1)N(C)C)O)(C)O)C)CCCNC(=S)NC1CCCCCCCCCCC1)O)(C)O;0.077208802;1;-11.8;14;;;;;;
CHEMBL1682591;CC[C@H]1OC(=O)[C@@H](C)[C@H](O[C@@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H](N(C)C)[C@@H]2O)[C@](C)(O)C[C@@H](C)CN(CCCNC(=S)Nc2ccc(C)cc2)[C@H](C)[C@@H](O)[C@]1(C)O;0;No;CC[C@@H]1[C@@]([C@@H]([C@@H](C)N(C[C@@H](C[C@@]([C@@H]([C@H]([C@H]([C@@H](C(=O)O1)C)O[C@@H]1C[C@](C)([C@H]([C@H](C)O1)O)OC)C)O[C@H]1[C@H]([C@@H](C[C@@H](C)O1)N(C)C)O)(C)O)C)CCCNC(=S)Nc1ccc(C)cc1)O)(C)O;0.094040744;1;-11.5;14;;;;;;
CHEMBL1682594;CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(CCCNC(=S)Nc2ccc(N(C)C)c3ccccc23)[C@H](C)[C@@H](O)[C@]1(C)O;0;No;CC[C@@H]1[C@@]([C@@H]([C@@H](C)N(C[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]1C[C@](C)([C@H]([C@H](C)O1)O)OC)C)O[C@H]1[C@@H]([C@H](C[C@@H](C)O1)N(C)C)O)(C)O)C)CCCNC(=S)Nc1ccc(c2ccccc12)N(C)C)O)(C)O;0.089246817;1;-12.2;15;;;;;;
CHEMBL1682598;CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(CCCNC(=O)Nc2ccc(C#N)cc2)[C@H](C)[C@@H](O)[C@]1(C)O;0;No;CC[C@@H]1[C@@]([C@@H]([C@@H](C)N(C[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]1C[C@](C)([C@H]([C@H](C)O1)O)OC)C)O[C@H]1[C@@H]([C@H](C[C@@H](C)O1)N(C)C)O)(C)O)C)CCCNC(=O)Nc1ccc(C#N)cc1)O)(C)O;0.1180363;1;-11.6;12;;;;;;
