Compound;SMILES;Cluster;Center;Smiles;rmsd;Model.ID;Energy;nRot
CPD-14739;OC[C@]1(O)CO[C@@H](OC[C@@H]2O[C@H](OCc3ccccc3)[C@H](O)[C@H](O)[C@@H]2O)[C@H]1O;0;No;OC[C@]1(O)CO[C@@H](OC[C@@H]2O[C@H](OCc3ccccc3)[C@H](O)[C@H](O)[C@@H]2O)[C@H]1O;0.229410157;1;-9.1;7
CPD-14835;COc1cc(/C=C\C(O)=C\C(=O)/C=C/c2ccc(O[C@H]3O[C@H](CO[C@@H]4O[C@H](CO[C@H]5O[C@@H](CO)[C@H](O)[C@H](O)[C@H]5O)[C@H](O)[C@@H](O)[C@H]4O)[C@@H](O)[C@H](O)[C@H]3O)c(OC)c2)ccc1O;0;No;COc1cc(ccc1O)/C=C\C(\O)=C\C(=O)/C=C/c1cc(OC)c(cc1)O[C@H]1O[C@H](CO[C@@H]2O[C@H](CO[C@H]3O[C@@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O;0.245045021;1;-10.4;16
CPD-14836;COc1cc(/C=C/C(O)=C/C(=O)/C=C\c2ccc(O[C@@H]3O[C@@H](CO[C@@H]4O[C@H](CO[C@H]5O[C@@H](CO[C@H]6O[C@H](CO)[C@@H](O)[C@@H](O)[C@@H]6O)[C@@H](O)[C@H](O)[C@@H]5O)[C@@H](O)[C@H](O)[C@H]4O)[C@H](O)[C@H](O)[C@H]3O)c(OC)c2)ccc1O;0;No;COc1cc(ccc1O)/C=C/C(/O)=C/C(=O)/C=C\c1cc(OC)c(cc1)O[C@@H]1O[C@@H](CO[C@@H]2O[C@H](CO[C@H]3O[C@@H](CO[C@H]4O[C@H](CO)[C@@H](O)[C@@H](O)[C@@H]4O)[C@@H](O)[C@H](O)[C@@H]3O)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H](O)[C@H]1O;0.107264422;1;-9.2;19
CPD-14839;OC[C@@H]1O[C@@H](OC[C@H]2O[C@@H](Oc3cc4c(cc3[C@H]3OC[C@@H]5[C@@H](c6ccc7c(c6)OCO7)OC[C@H]35)OCO4)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@@H]1O;0;No;OC[C@@H]1O[C@@H](OC[C@H]2O[C@@H](Oc3cc4OCOc4cc3[C@H]3OC[C@@H]4[C@H](OC[C@@H]43)c3cc4OCOc4cc3)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@@H]1O;0.172993958;1;-10.3;8
CPD-14839;OC[C@@H]1O[C@@H](OC[C@H]2O[C@@H](Oc3cc4c(cc3[C@H]3OC[C@@H]5[C@@H](c6ccc7c(c6)OCO7)OC[C@H]35)OCO4)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@@H]1O;0;No;OC[C@@H]1O[C@@H](OC[C@H]2O[C@@H](Oc3cc4OCOc4cc3[C@H]3OC[C@@H]4[C@H](OC[C@@H]43)c3cc4OCOc4cc3)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@@H]1O;0.172993958;1;-8.7;8
CPD-16530;O=C(O[C@@H]1Cc2c(O)cc(O)cc2O[C@H]1c1ccc(O)c(O)c1)c1cc(O)c(O)c(O)c1;0;No;Oc1c(O)cc(cc1O)C(=O)O[C@@H]1Cc2c(cc(O)cc2O)O[C@H]1c1ccc(O)c(O)c1;0.168168962;1;-8.9;4
CPD-16550;O=C(/C=C\c1ccc(O)c(O)c1)O[C@@H]1O[C@H](CO)[C@H](O)[C@@H](O)[C@@H]1O;0;No;OC[C@H]1O[C@@H](OC(=O)/C=C\c2ccc(O)c(O)c2)[C@@H](O)[C@H](O)[C@H]1O;0.260514349;1;-9;5
CPD-17478;O=C1c2ccc(O)cc2O[C@@H]1[C@H](OO)c1ccc(O[C@@H]2O[C@@H](CO)[C@H](O)[C@H](O)[C@@H]2O)cc1;0;No;Oc1cc2O[C@H]([C@H](OO)c3ccc(cc3)O[C@@H]3O[C@@H](CO)[C@H](O)[C@H](O)[C@@H]3O)C(=O)c2cc1;0.163914919;1;-8.1;0
CPD-17480;O=C1c2ccc(O)cc2O[C@@H]1[C@@H](O)c1ccc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]2O)cc1;0;No;Oc1cc2O[C@H]([C@@H](O)c3ccc(cc3)O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]3O)C(=O)c2cc1;0.126576245;1;-10.6;5
CPD-1777;COc1cc(/C=C\CO)ccc1O[C@@H]1O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]1O;0;No;COc1cc(/C=C\CO)ccc1O[C@@H]1O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]1O;0.252202719;1;-8.2;6
