Compound;SMILES;Cluster;Center;Smiles;RMSD;Model.ID;Energy;nRot
CHEMBL504029;CC(C)=CC/C=C(\C)[C@@H]1CC[C@]2(C)[C@H]1[C@H](O)C[C@@H]1[C@@]3(C)CC[C@H](O)C(C)(C)[C@@H]3[C@@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)C[C@]12C;2;No;CC(=CC/C=C(\C)/[C@@H]1CC[C@]2(C)[C@H]1[C@@H](C[C@@H]1[C@@]3(C)CC[C@@H](C(C)(C)[C@@H]3[C@H](C[C@@]21C)O[C@H]1[C@@H]([C@H]([C@@H]([C@@H](CO)O1)O)O)O)O)O)C;0.097101025;1;-11.7;8
CHEMBL504134;O=S(=O)([O-])O/C=C/c1ccc(O[C@@H]2Oc3cc(/C=C/OS(=O)(=O)[O-])ccc3O[C@@H]2c2ccc(O)c(O)c2)c(O)c1;0;No;O=S(=O)([O-])O/C=C/c1ccc(O[C@@H]2Oc3cc(/C=C/OS(=O)(=O)[O-])ccc3O[C@@H]2c2ccc(O)c(O)c2)c(O)c1;0.102833815;1;-11.6;11
CHEMBL504292;O=C(/C=C\c1ccc(O)cc1)O[C@H]1[C@H](Oc2ccc(C(=O)/C=C/c3ccc(O)cc3)c(O)c2O)O[C@H](CO)[C@@H](O)[C@@H]1O;0;No;c1(c(c(c(cc1)C(=O)/C=C/c1ccc(cc1)O)O)O)O[C@H]1[C@@H]([C@H]([C@@H]([C@@H](CO)O1)O)O)OC(=O)/C=C\c1ccc(cc1)O;0.059200455;1;-11.6;12
CHEMBL504487;C[C@H]1O[C@@H](Oc2c(-c3cc(O)c(O)c(O)c3)oc3cc(O)cc(O)c3c2=O)[C@@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@@H](O)[C@@H]1O;1;No;O[C@H]1[C@H](O)[C@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@H](Oc2c(oc3c(c2=O)c(O)cc(O)c3)c2cc(O)c(O)c(O)c2)O[C@@H]1C;0.117817894;1;-11.7;6
CHEMBL504515;COC(=O)C1=CO[C@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H]2[C@H]1[C@@H]1O[C@@H]1[C@@]21C=C([C@@H](O)c2ccc(O)cc2)C(=O)O1;2;No;COC(=O)C1=CO[C@@H]([C@@H]2[C@H]1[C@H]1[C@@H]([C@]32C=C([C@H](c2ccc(cc2)O)O)C(=O)O3)O1)O[C@@H]1[C@@H]([C@H]([C@@H]([C@@H](CO)O1)O)O)O;0.09685193;1;-10.2;7
CHEMBL504933;C=C[C@]1(C)C=C2C(=O)C[C@@]3(C)C(C)(C)[C@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O[C@@H]4O[C@@H](C)[C@H](O)[C@@H](O)[C@H]4O)CC[C@]3(C)[C@H]2CC1;2;No;C=C[C@]1(C)C=C2C(=O)C[C@@]3(C)C(C)(C)[C@@H](CC[C@]3(C)[C@H]2CC1)O[C@H]1[C@@H]([C@H]([C@@H]([C@@H](CO)O1)O)O)O[C@H]1[C@@H]([C@@H]([C@H]([C@H](C)O1)O)O)O;0.059624758;1;-11.7;6
CHEMBL505251;C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](Oc3cc4c(O)cc(O)cc4[o+]c3-c3ccc(O)c(O)c3)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O;1;No;C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC[C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)Oc1cc2c(cc(cc2[o+]c1c1ccc(c(c1)O)O)O)O)O)O)O)O)O)O;0.121708132;1;-12.3;6
CHEMBL505815;O=C1c2c(c3c4ccc(O)cc4n(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)c3c3[nH]c4cc(O)ccc4c23)C(=O)N1NCc1cccc(O)c1;0;No;N1(NCc2cccc(c2)O)C(=O)c2c(C1=O)c1c3c([nH]c1c1n(c4c(c21)ccc(c4)O)O[C@H]1[C@@H]([C@H]([C@@H]([C@@H](CO)O1)O)O)O)cc(cc3)O;0.123394988;1;-10.8;9
CHEMBL506843;C[C@@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@H](OCCc3ccc(O)c(O)c3)O[C@H](CO)[C@H]2OC(=O)/C=C/c2ccc(O)c(O)c2)[C@H](O)[C@H](O)[C@H]1O[C@@H]1OC[C@@H](O)[C@H](O)[C@H]1O;2;No;C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]1[C@H]([C@H](OCCc2ccc(c(c2)O)O)O[C@H](CO)[C@H]1OC(=O)/C=C/c1ccc(c(c1)O)O)O)O)O)O[C@H]1[C@@H]([C@H]([C@@H](CO1)O)O)O;0.04301336;1;-11;14
CHEMBL508046;CCCCCC(=O)c1c(O)c([C@@H](C2=C(O)C(C)(C)C(=O)C(C)(C)C2=O)C(C)C)c(O)c([C@H](C2=C(O)C(C)(C)C(=O)C(C)(C)C2=O)C(C)C)c1O;0;No;CCCCCC(=O)c1c(c([C@@H](C2=C(C(C)(C)C(=O)C(C)(C)C2=O)O)C(C)C)c(c([C@H](C2=C(C(C)(C)C(=O)C(C)(C)C2=O)O)C(C)C)c1O)O)O;0.116946965;1;-10.3;11
