Compound,Model ID,Energy,nRot
CHEMBL520866,1,-11.2,3
CHEMBL610350,1,-11.2,9
CHEMBL297453,1,-11.2,4
CHEMBL331903,1,-11.2,5
CHEMBL250695,1,-11.2,6
CHEMBL231522,1,-11.2,10
CHEMBL2436933,1,-11.2,3
CHEMBL4106539,1,-11.2,5
CHEMBL449495,1,-11.2,13
CHEMBL538423,1,-11.2,6
CHEMBL448091,1,-11.2,20
CHEMBL500570,1,-11.2,13
CHEMBL473673,1,-11.2,7
CHEMBL584194,1,-11.2,14
CHEMBL368805,1,-11.2,6
CHEMBL487593,1,-11.2,8
CHEMBL4075054,1,-11.2,4
CHEMBL381930,1,-11.2,13
CHEMBL3397954,1,-11.2,4
CHEMBL58606,1,-11.2,10
CHEMBL4087565,1,-11.2,7
CHEMBL1222356,1,-11.2,12
CHEMBL2093884,1,-11.2,3
CHEMBL465777,1,-11.2,6
CHEMBL1243035,1,-11.2,12
CHEMBL3597474,1,-11.2,9
CHEMBL297673,1,-11.2,15
CHEMBL3633634,1,-11.2,9
CHEMBL1172243,1,-11.2,8
CHEMBL486175,1,-11.2,8
CHEMBL3815077,1,-11.2,7
CHEMBL266564,1,-11.2,9
CHEMBL1927964,1,-11.2,13
CHEMBL1468796,1,-11.2,3
CHEMBL2021340,1,-11.2,6
CHEMBL3039085,1,-11.1,7
CHEMBL2208103,1,-11.1,6
CHEMBL1159471,1,-11.1,4
CHEMBL1159648,1,-11.1,4
CHEMBL46067,1,-11.1,15
CHEMBL3577666,1,-11.1,2
CHEMBL2001445,1,-11.1,10
CHEMBL3341961,1,-11.1,12
CHEMBL427715,1,-11.1,5
CHEMBL1198966,1,-11.1,8
CHEMBL1159621,1,-11.1,9
CHEMBL421866,1,-11.1,9
CHEMBL1198707,1,-11.1,8
CHEMBL431955,1,-11.1,9
CHEMBL3402214,1,-11.1,8
CHEMBL1223840,1,-11.1,2
CHEMBL84333,1,-11.1,7
CHEMBL1223839,1,-11.1,2
CHEMBL1159620,1,-11.1,7
CHEMBL3134108,1,-11.1,8
CHEMBL3110213,1,-11.1,11
CHEMBL109809,1,-11.1,2
CHEMBL556527,1,-11.1,11
CHEMBL1328143,1,-11.1,7
CHEMBL1812483,1,-11.1,6
CHEMBL519878,1,-11.1,7
CHEMBL344318,1,-11.1,9
CHEMBL463511,1,-11.1,10
CHEMBL2063149,1,-11.1,2
CHEMBL1939394,1,-11.1,4
CHEMBL186704,1,-11.1,12
CHEMBL1198605,1,-11.1,7
CHEMBL513155,1,-11.1,7
CHEMBL1886292,1,-11.1,3
CHEMBL1817747,1,-11.1,18
CHEMBL601333,1,-11.1,7
CHEMBL2011687,1,-11.1,13
CHEMBL1197952,1,-11.1,4
CHEMBL1096690,1,-11.1,6
CHEMBL529359,1,-11.1,5
CHEMBL478196,1,-11.1,3
CHEMBL1774721,1,-11.1,11
CHEMBL442566,1,-11.1,7
CHEMBL2337121,1,-11.1,12
CHEMBL1916005,1,-11.1,13
CHEMBL465382,1,-11.1,12
CHEMBL3589199,1,-11.1,5
CHEMBL398270,1,-11.1,7
CHEMBL497262,1,-11.1,8
CHEMBL473047,1,-11.1,13
CHEMBL423423,1,-11.1,5
CHEMBL3810015,1,-11.1,7
CHEMBL2425486,1,-11.1,15
CHEMBL3120853,1,-11.1,5
CHEMBL2437491,1,-11.1,10
CHEMBL1159628,1,-11.1,9
CHEMBL1198615,1,-11.1,6
CHEMBL4073978,1,-11.1,8
CHEMBL3134107,1,-11.1,8
CHEMBL605627,1,-11.0,9
CHEMBL4062763,1,-11.0,6
CHEMBL4108780,1,-11.0,5
CHEMBL590344,1,-11.0,16
CHEMBL1968967,1,-11.0,4
CHEMBL3542300,1,-11.0,2
CHEMBL470049,1,-11.0,5
CHEMBL1779146,1,-11.0,7
CHEMBL2303992,1,-11.0,8
CHEMBL364153,1,-11.0,12
CHEMBL3604317,1,-11.0,7
CHEMBL575364,1,-11.0,8
CHEMBL1791438,1,-11.0,11
CHEMBL3318022,1,-11.0,6
CHEMBL465424,1,-11.0,9
CHEMBL3944674,1,-11.0,22
CHEMBL479908,1,-11.0,8
CHEMBL538921,1,-11.0,7
CHEMBL1974994,1,-11.0,5
CHEMBL1198604,1,-11.0,8
CHEMBL1994918,1,-11.0,7
CHEMBL24398,1,-11.0,9
CHEMBL3921396,1,-11.0,11
CHEMBL258394,1,-11.0,7
CHEMBL517484,1,-11.0,3
CHEMBL2436932,1,-11.0,3
CHEMBL51024,1,-11.0,7
CHEMBL3306850,1,-11.0,12
CHEMBL3215407,1,-11.0,12
CHEMBL444301,1,-11.0,7
CHEMBL1208273,1,-11.0,8
CHEMBL1159625,1,-11.0,9
CHEMBL2006774,1,-11.0,10
CHEMBL3138493,1,-11.0,5
CHEMBL450497,1,-11.0,15
CHEMBL1689198,1,-11.0,5
CHEMBL469654,1,-11.0,4
CHEMBL2041757,1,-11.0,13
CHEMBL80018,1,-11.0,4
CHEMBL1159485,1,-11.0,11
CHEMBL116677,1,-11.0,12
CHEMBL590724,1,-11.0,15
CHEMBL473461,1,-11.0,12
CHEMBL1094659,1,-11.0,18
CHEMBL3633594,1,-11.0,5
CHEMBL1196329,1,-11.0,6
CHEMBL3594224,1,-11.0,8
CHEMBL506843,1,-11.0,14
CHEMBL1974170,1,-11.0,3
CHEMBL556267,1,-11.0,7
CHEMBL1689258,1,-11.0,13
CHEMBL2011794,1,-11.0,4
CHEMBL468386,1,-11.0,5
CHEMBL88533,1,-11.0,8
CHEMBL452495,1,-11.0,10
CHEMBL503997,1,-11.0,8
CHEMBL463242,1,-11.0,7
CHEMBL278312,1,-11.0,9
CHEMBL3932059,1,-11.0,6
CHEMBL499151,1,-11.0,12
CHEMBL1083808,1,-11.0,4
CHEMBL446760,1,-11.0,9
CHEMBL1940968,1,-10.9,14
CHEMBL416286,1,-10.9,12
CHEMBL2303982,1,-10.9,7
CHEMBL1271396,1,-10.9,4
CHEMBL1819443,1,-10.9,11
CHEMBL2018853,1,-10.9,11
CHEMBL2041753,1,-10.9,12
CHEMBL116723,1,-10.9,8
CHEMBL359962,1,-10.9,8
CHEMBL500292,1,-10.9,13
CHEMBL477535,1,-10.9,10
CHEMBL2346811,1,-10.9,14
CHEMBL4075205,1,-10.9,9
CHEMBL495649,1,-10.9,9
CHEMBL228449,1,-10.9,11
CHEMBL1159618,1,-10.9,7
CHEMBL218550,1,-10.9,4
CHEMBL1199220,1,-10.9,9
CHEMBL393549,1,-10.9,8
CHEMBL2316620,1,-10.9,10
CHEMBL3409093,1,-10.9,4
CHEMBL563399,1,-10.9,6
CHEMBL2023573,1,-10.9,6
CHEMBL79938,1,-10.9,4
CHEMBL1819344,1,-10.9,9
CHEMBL458760,1,-10.9,6
CHEMBL347718,1,-10.9,12
CHEMBL1669712,1,-10.9,8
CHEMBL3104954,1,-10.9,2
CHEMBL228079,1,-10.9,10
CHEMBL2311861,1,-10.9,9
CHEMBL499145,1,-10.9,14
CHEMBL1159510,1,-10.9,6
