Compound,Model ID,Energy,nRot
CHEMBL377937,1,-13.5,5
CHEMBL348097,1,-13.5,5
CHEMBL1271396,1,-13.5,4
CHEMBL108770,1,-13.5,4
CHEMBL425107,1,-13.5,10
CHEMBL280468,1,-13.5,6
CHEMBL3261680,1,-13.5,7
CHEMBL2064783,1,-13.5,2
CHEMBL1190575,1,-13.5,4
CHEMBL3586287,1,-13.5,3
CHEMBL507102,1,-13.5,7
CHEMBL1765378,1,-13.5,7
CHEMBL2001445,1,-13.5,10
CHEMBL522181,1,-13.5,5
CHEMBL347897,1,-13.5,8
CHEMBL491580,1,-13.4,2
CHEMBL3989639,1,-13.4,4
CHEMBL2087141,1,-13.4,5
CHEMBL1980027,1,-13.4,6
CHEMBL3350955,1,-13.4,0
CHEMBL152501,1,-13.4,6
CHEMBL449220,1,-13.4,8
CHEMBL1391063,1,-13.4,12
CHEMBL3633594,1,-13.4,5
CHEMBL464610,1,-13.4,7
CHEMBL339503,1,-13.4,2
CHEMBL516599,1,-13.3,5
CHEMBL1997853,1,-13.3,3
CHEMBL458336,1,-13.3,4
CHEMBL3589059,1,-13.3,6
CHEMBL274803,1,-13.3,10
CHEMBL2074831,1,-13.3,4
CHEMBL428060,1,-13.3,5
CHEMBL253154,1,-13.3,3
CHEMBL201477,1,-13.3,5
CHEMBL513213,1,-13.3,5
CHEMBL3577611,1,-13.3,8
CHEMBL2094029,1,-13.3,3
CHEMBL2087147,1,-13.3,5
CHEMBL1456897,1,-13.3,5
CHEMBL2087148,1,-13.3,5
CHEMBL1708554,1,-13.3,4
CHEMBL2431740,1,-13.3,12
CHEMBL251086,1,-13.3,5
CHEMBL1976273,1,-13.2,9
CHEMBL1707235,1,-13.2,5
CHEMBL1171062,1,-13.2,9
CHEMBL2093884,1,-13.2,3
CHEMBL2273037,1,-13.2,5
CHEMBL374281,1,-13.2,11
CHEMBL1597821,1,-13.2,14
CHEMBL191183,1,-13.2,7
CHEMBL447826,1,-13.2,6
CHEMBL372311,1,-13.2,12
CHEMBL530736,1,-13.2,7
CHEMBL458193,1,-13.2,1
CHEMBL2094055,1,-13.2,3
CHEMBL2001627,1,-13.2,6
CHEMBL307331,1,-13.1,12
CHEMBL501944,1,-13.1,6
CHEMBL399308,1,-13.1,6
CHEMBL1993639,1,-13.1,3
CHEMBL3593352,1,-13.1,5
CHEMBL1990201,1,-13.1,15
CHEMBL1627105,1,-13.1,8
CHEMBL2375631,1,-13.1,12
CHEMBL2087142,1,-13.1,5
CHEMBL103170,1,-13.1,3
CHEMBL506554,1,-13.1,13
CHEMBL330825,1,-13.1,6
CHEMBL3814498,1,-13.1,7
CHEMBL571964,1,-13.1,15
CHEMBL3359817,1,-13.1,12
CHEMBL571851,1,-13.1,12
CHEMBL3600402,1,-13.0,9
CHEMBL2419637,1,-13.0,6
CHEMBL1456906,1,-13.0,5
CHEMBL220741,1,-13.0,3
CHEMBL2448176,1,-13.0,4
CHEMBL501637,1,-13.0,11
CHEMBL2367701,1,-13.0,9
CHEMBL28670,1,-13.0,4
CHEMBL436921,1,-13.0,2
CHEMBL279831,1,-13.0,6
CHEMBL3508145,1,-13.0,8
CHEMBL2272412,1,-13.0,9
CHEMBL1198604,1,-13.0,8
CHEMBL1475999,1,-13.0,2
CHEMBL283005,1,-13.0,13
CHEMBL2375181,1,-13.0,11
CHEMBL507965,1,-13.0,8
CHEMBL27072,1,-13.0,2
CHEMBL3508146,1,-13.0,5
CHEMBL47582,1,-13.0,6
CHEMBL443442,1,-13.0,10
CHEMBL2332412,1,-13.0,10
CHEMBL2152294,1,-13.0,12
CHEMBL1643128,1,-13.0,6
CHEMBL1867641,1,-13.0,1
CHEMBL575891,1,-13.0,8
CHEMBL1159510,1,-12.9,6
CHEMBL3585680,1,-12.9,3
CHEMBL3932059,1,-12.9,6
CHEMBL2096758,1,-12.9,13
CHEMBL538423,1,-12.9,6
CHEMBL1092944,1,-12.9,5
CHEMBL3350953,1,-12.9,0
CHEMBL510006,1,-12.9,6
CHEMBL3188153,1,-12.9,4
CHEMBL335544,1,-12.9,12
CHEMBL543353,1,-12.9,5
CHEMBL3617997,1,-12.9,4
CHEMBL280633,1,-12.9,2
CHEMBL475683,1,-12.9,6
CHEMBL2431741,1,-12.9,12
CHEMBL225673,1,-12.9,10
CHEMBL1229251,1,-12.9,14
CHEMBL300060,1,-12.9,6
CHEMBL2047328,1,-12.9,11
CHEMBL352204,1,-12.9,6
CHEMBL1433930,1,-12.8,6
CHEMBL3601577,1,-12.8,13
CHEMBL3600665,1,-12.8,14
CHEMBL2429887,1,-12.8,12
CHEMBL1967373,1,-12.8,9
CHEMBL302887,1,-12.8,6
CHEMBL1956074,1,-12.8,6
CHEMBL1224866,1,-12.8,6
CHEMBL478196,1,-12.8,3
CHEMBL282089,1,-12.8,8
CHEMBL4087565,1,-12.8,7
CHEMBL3426499,1,-12.8,1
CHEMBL218550,1,-12.8,4
CHEMBL3348847,1,-12.8,5
CHEMBL2377254,1,-12.8,3
CHEMBL342943,1,-12.8,14
CHEMBL1224860,1,-12.8,7
CHEMBL1976157,1,-12.8,11
CHEMBL3355092,1,-12.8,10
CHEMBL1535932,1,-12.8,5
